"Стаал, Марк ","Марк Стаал (англ. Marc Staal; род. 13 января 1987 года, в Тандер-Бей, Онтарио, Канада) — канадский профессиональный хоккеист, выступающий за команду Национальной хоккейной лиги «Нью-Йорк Рейнджерс».
"
Занфировка ,"Занфировка (укр. Занфірівка) — село в Александрийском районе Кировоградской области Украины.
"
Операция «Ranger» ,"Операция «Рейнджер» (англ. Ranger) — четвёртая серия из 5 испытательных ядерных взрывов, осуществлённых США в 1951 году. Это первая серия, проведённая в ядерном полигоне в Неваде. Все пять взрывов были совершены за 8 дней, все они были сдетонированы в воздухе и сбрасывались с бомбардировщиков B-50.
"
Банк кредит свисс (Москва) ,"Банк Кредит Свисс (Москва) — дочерний банк крупного международного банка Credit Suisse, созданный в 1993 году в форме акционерного общества[2]. Представительство банка Credit Suisse начало работать в СССР в 1976 году. Один из первых зарубежных банков, начавших работать на российском рынке банковских услуг для частных клиентов[3].
"
Брускинский сельский совет (Великоалександровский район) ,"Брускинский сельский совет (укр. Брускинська сільська рада) — входит в состав
Великоалександровского района
Херсонской области
Украины.
"
Список серий «Сейлор Мун» (сезон 3) ,"Это список серий третьего сезона аниме-сериала Сейлор Мун (яп. 美少女戦士セーラームーン Бисёдзё Сэнси Сэра Мун) под названием «Сейлор-Мун — Супер Воин» или «Sailor Moon S». Эпизоды 90-127.
"
"Бушар, Арман ","Арман Бушар (франц. Armand Bouchart) — тамплиер, командовавший небольшим гарнизоном во время оккупации Кипра тамплиерами в 1192 году.
"
ЭКО (журнал) ,"АНО «Редакция журнала «ЭКО́» («Экономика и организация промышленного производства») — всероссийский экономический журнал, основанный в 1970 году. Учредители — Сибирское отделение Российской академии наук, Институт экономики и организации промышленного производства (ИЭОПП) СО РАН, редакция журнала. Включен в список российских научных журналов ВАК Минобрнауки России.
"
Аль-Кувейт (стадион) ,"Спортивный стадион Аль-Кувейт Каифан (араб. ملعب نادي الكويت‎) — многофункциональный стадион в Кувейте. В основном, используется для футбольных матчей и принимает матчи «Аль-Кувейта». Стадион вмещает 18 500 человек.[1] Он также принимал матчи сборной Кувейта в отборочном турнире чемпионата мира по футболу 2010 года, на который команда не смогла выйти. Стадион принимал финальные матчи Кубка эмира и Кубка кронпринца в течение последних 5 сезонов. Сборная Кувейта играла на нем свои домашние матчи на Кубке наций Персидского залива в 1974 году, в котором Кувейт выиграл свой третий титул.
"
Современная музыкальная нотация ,"Современная музыкальная нотация — классический вид западноевропейской линейной нотации.
"
LRAC F1 ,"LRAC F1 (сокр. фр. Lance-Roquettes AntiChar de 89 mm modèle F1, буквально «89-мм противотанковый гранатомёт модели F1») — французский ручной противотанковый гранатомёт, разработанный в 1969 году и предназначенный для поражения бронированных целей.
"
Йозеф Венцель ,"Йозеф Венцель Максимиллиан Мария фон унд цу Лихтенштейн, граф Ритберг (нем. Joseph Wenzel Maximilian Maria von und zu Liechtenstein, Gräf zu Rietberg; род. 24 мая 1995) ― старший ребенок Алоиза, регента и наследного князя Лихтенштейна, и его жены принцессы Софии Баварской, герцогини в Баварии. Является старшим внуком нынешнего правящего князя Лихтенштейна, Ханса-Адама II.[2] Занимает вторую, после своего отца, позицию в линии наследования трона Лихтенштейна, и третью позицию в якобитской линии претендентов на престолы Англии, Шотландии, Ирландии и Франции через свою мать. Первый наследник якобитов, который родился на Британских островах с 1688 года. В случае его восшествия на престол Лихтенштейна и смерти своей матери он станет первым наследником якобитов со времён потери династией британской короны, который будет главой другого государства.[2]"
Малая Русь (сборник) ,"«Ма́лая Русь» — периодический сборник, издаваемый в Киеве в 1918 году под редакцией общественного деятеля и публициста Василия Шульгина. Всего издано 3 номера. Авторами сборника являлся ряд крупных историков и публицистов своего времени. Освещал украинский вопрос с позиций русского национализма и сторонников трактовки Украины как Малой Руси[1].
"
Чанги ,"Чанги (장기, 將棋) — настольная игра шахматного типа, распространённая в Корее. Считается производной от китайской игры сянци. Использует практически аналогичную сянци доску, тот же набор фигур, отличается правилами ходов.
"
Мосеево (Мосеевское сельское поселение) ,"Мосеево — деревня в Тотемском районе Вологодской области. Административный центр Мосеевского сельского поселения[1].
"
Партия левых социалистов-революционеров ,"Партия левых социалистов-революционеров-интернационалистов (или левые эсеры) — политическая партия в России в 1917—1923.
"
"Вестердейк, Йоханна ",член Линнеевского общества[d]
Клерик (серия книг) ,"«Клерик» (Cleric quintet) — серия книг Роберта А. Сальваторе в жанре фэнтези. Состоит из пяти романов: «Canticle» (1991) «In Sylvan Shadows» (1992) «Night Masks» (1992) «The Fallen Fortress»(1993) и «The Chaos Curse» (1994). Название серии ошибочно переводили как «Квинтет Клирика» или «Клерикальный Квинтет», хотя слово «quintet» в названии означает «пенталогия».
"
"Шевельков, Владимир Алексеевич ","Влади́мир Алексе́евич Шевелько́в (род. 8 мая 1961) — советский и российский актёр театра и кино, кинорежиссёр, сценарист, продюсер, телеведущий. Заслуженный деятель искусств Российской Федерации (2018).
"
Бугабашская икона Божией Матери ,"Бугаба́шская ико́на Бо́жией Ма́тери — местнопочитаемая чудотворной в Нефтекамской епархии икона Богородицы. Представляет собой изображение лика на камне; появление относят ко второй половине XIX века в селе Бугабашево в Бакалинском районе Башкортостана. Является единственной чудотворной иконой Нефтекамской епархии, сохранившейся в подлиннике. Празднование иконе совершается 28 июля (10 августа).
"
"Михневич, Владимир Осипович ","Влади́мир О́сипович Михневич (псевдоним — Коломенский Кандид; 14 (26) января 1841 (1841-01-26)[2], Киевская губерния — 24 февраля (8 марта) 1899[2], Санкт-Петербург) — русский писатель, журналист, историк быта, краевед и публицист.
"
Европейский маршрут E58 ,"Е58 — европейский маршрут категории А, связывающий Австрию с Россией и проходящий через Словакию, Румынию, Молдавию (в том числе непризнанное Приднестровье) и Украину.
"
Родри ап Ител ,"Родри ап Ител (валл. Rhodri ap Ithel; VIII век) — соправитель Гливисинга при братьях Рисе и Меуриге с 755 года.
"
Лашкино ,"Лашкино — деревня в Новодугинском районе Смоленской области России. Входит в состав Капустинского сельского поселения. Население — 6 жителей (2007 год). 
"
"Морроу, Джастин ","Джа́стин Мо́рроу (англ. Justin Morrow; родился 4 октября 1987 года в Кливленде, штат Огайо, США) — американский футболист, левый защитник клуба MLS «Торонто» и сборной США.
"
Неомицин ,"Неомици́н — антибиотик из группы аминогликозидов, представляет собой смесь антибиотиков неомицина А, В и С, продуцируемых Streptomyces fradiae. выпускается в виде сульфата.
"
"Нильссон, Нильс Хериберт ","Нильс Хериберт-Нильссон (швед. Nils Heribert-Nilsson; 26 мая 1883 — 3 августа 1955) — шведский ботаник и генетик.
"
Личный закон ,"Личный закон — право страны, в соответствии с которым определяется правовой статус субъекта, участвующего в гражданско-правовом отношении, осложненном иностранным элементом. Правовой статус включает: правоспособность субъекта и дееспособность субъекта.
"
Городок (Ровненский район) ,"Городо́к (укр. Городок) — село, центр Городокского сельского совета Ровненского района Ровненской области Украины.
"
To Hell with the Devil ,"To Hell with the Devil (рус. В Ад вместе с Дьяволом) — третий студийный альбом американской глэм-метал/христианской метал группы Stryper вышедший в 1986 году[1]. Альбом стал наиболее успешным релизом группы и был номинирован на Грэмми. Главная песня альбома — To Hell with the Devil стала визитной карточкой группы и её самой известной песней. Помимо этого, это первый альбом группы достигший платинового статуса и первый достигший подобного статуса в христианском метале вообще. На данный момент является самым продаваемым альбомом христианского метала за всю историю жанра.
"
"Сармьенто, Доминго Фаустино ","Доми́нго Фаусти́но Сармье́нто Альбарраси́н (исп. Domingo Faustino Sarmiento Albarracín, 15 февраля 1811, Сан-Хуан, Аргентина — 11 сентября 1888, Асунсьон, Парагвай) — аргентинский военный деятель, масон[3], позднее педагог, писатель, журналист, губернатор провинции Сан-Хуан в 1862—1864 годах, посол Аргентины в США в 1864 году, министр внутренних дел и просвещения в 1865—1868 годах, президент Аргентины с 12 октября 1868 по 12 октября 1874 года. Борец за модернизацию страны.
"
"Басков, Константин Иванович ","Константин Иванович Басков (5 мая 1929, Гусь-Хрустальный — 12 ноября 2001, Москва) — советский и российский оперный певец (тенор), солист Большого театра (1965—1995), заведующий оперной труппой (1989—1992), кавалер ордена «Знак почета».
"
Кучино (Вологодская область) ,"Кучино — деревня в Вологодском районе Вологодской области.
"
"Соболев, Вячеслав Владимирович ","Вячесла́в Влади́мирович Со́болев (13 октября 1984) — казахстанский футболист, защитник. Выступал за сборную Казахстана. Воспитанник алматинского футбола. За сборную сыграл две товарищеские игры в декабре 2006 года против сборных Сингапура и Таиланда. Также был капитаном молодежной сборной Казахстана[2]. Профессиональную карьеру начал в 17 лет в команде усть-каменогорского Восток-Алтын. Через год переходит в Атырау, где с командой выигрывает серебряные медали чемпионата.
"
Леточки ,"Ле́точки (укр. Літочки) — село, входит в Броварский район Киевской области Украины.
"
Обращаемые фотоматериалы ,"Обраща́емые фотоматериа́лы — светочувствительные материалы (фотоплёнка, киноплёнка, фотобумага), позволяющие после лабораторной обработки получать готовое позитивное изображение непосредственно на материале, на который проводилась съёмка, в отличие от негативно-позитивного процесса, требующего печати позитива на другом фотоматериале[1]. В старых советских источниках употребляется термин обратимые фотоматериалы.
"
Jem ,"Джемма Лоралей Дафни Джанин Гриффитс-Кэлловэй (англ. Jemma Lauralay Daphnee Janine  Griffiths-Calloway; родилась 18 мая 1975 г. в г. Пенарт, Уэльс) — певица, автор-исполнитель, известная как Jem. Её дебютный альбом Finally Woken вышел в 2004 году, второй Down to Earth — в 2008.
"
Амангельды (Жамбылская область) ,"Амангельды (каз. Амангелді) — аул в Таласском районе Жамбылской области Казахстана. Входит в состав Шакировского сельского округа. Код КАТО — 316259500[1]. Сейчас этот аул называется Тамабек! Это раньше назывался Амангельды
"
Нина Настасья ,"Нина Настасья (англ. Nina Nastasia)[~ 1] — американская фолк-певица итальянского происхождения[1], родившаяся в Голливуде, Калифорния, ныне живущая в Нью-Йорке и исполняющая «интимную, призрачную музыку, вызывающую ностальгические воспоминания об утраченной американской культуре» — в аранжировках с использованием акустической гитары, фортепиано, виолы, виолончели[2]. Нина Настасья выпустила пять студийных альбомов, получивших высокие оценки критики[3]. В 2002—2004 годах её шесть раз приглашал записаться в своей студии Джон Пил[4].
"
Мусачево (Софийская область) ,"Мусачево (болг. Мусачево) — село в Болгарии. Находится в Софийской области, входит в общину Елин-Пелин. Население составляет 1 183 человека.
"
Риджкрест (Флорида) ,"Риджкрест (англ. Ridgecrest) — статстически обособленная местность, расположенная в округе Пинелас (штат Флорида, США) с населением в 2453 человека по статистическим данным переписи 2000 года.
"
Пелуго ,"Пелуго (итал. Pelugo) — коммуна в Италии, располагается в провинции Тренто области Трентино-Альто-Адидже.
"
Флорентийский кодекс ,"Общая история о делах Новой Испании, или Флорентийский кодекс, — фундаментальное произведение по истории ацтеков XVI века. Впервые на русский язык переведены книги V, X и XI специалистом по доколумбовым цивилизациям С. А. Куприенко (Украина, Киев, 2013)[1], а в 2014 — частично книги III, VII и X.
"
Семь холмов Москвы ,"Семь холмов Москвы — историческое название повышенных участков местности, на которых была построена Москва. Выражение произошло по аналогии с холмами Рима. С развитием и строительством столицы в список входили новые возвышенности. В настоящее время не существует единого мнения о том, какие именно холмы считаются основными, само выражение носит больше формальный характер и существует, чтобы подчеркнуть важность и величавость Москвы[1][2].
"
Фторид ксенона(IV) ,"Тетрафтори́д ксено́на — соединение ксенона со фтором, представляющее собой при комнатной температуре бесцветные кристаллы со слабым желтоватым оттенком и чрезвычайно высокой химической активностью и агрессивностью. Самое устойчивое соединение ксенона. Чистый тетрафторид ксенона стабилен, однако во влажном воздухе гидролизуется с образованием оксифторидов ксенона.
"
Танайка (река) ,"Танайка — река в России, протекает в Республике Татарстан. Устье реки находится в 18 км по правому берегу протоки Криуша реки Кама. Длина реки составляет 33 км, площадь водосборного бассейна 176 км².
"
Чигурха ,"Чигурха (абх. Чигурха), до 1992 года, а также ныне в Грузии — Вели (груз. ველი) — село в Абхазии, в Гагрском районе частично признанной Республики Абхазии, согласно административному делению Грузии — в Гагрском муниципалитете Абхазской Автономной Республики[1]. Высота над уровнем моря составляет 380 метров.
"
"Хаас, Эрл ","Эрл Хаас (1888 (1888)—1981) — американский врач-остеопат и изобретатель. Известен в первую очередь как изобретатель гигиенических тампонов (1929).
"
Чемпионат СССР по футболу 1975 (вторая лига) ,"Чемпионат СССР 1975 года во второй лиге проходил в шести зонах. Три лучших клуба из каждой зоны выходили в три полуфинала, по два клуба из каждого полуфинала в финальном турнире разыграли три путёвки в первую лигу.
"
Куксу (лапша) ,"Куксу[1][2] (кор. 국수) — блюдо корейской кухни, лапша, а кроме того — холодный суп из этой лапши. На диалекте советских корейцев называется «кукси».
"
Ла-Пас (департамент Сальвадора) ,"Ла-Па́с (исп. La Paz) — один из 14 департаментов Сальвадора. Находится в центральной части страны. Граничит с департаментами Сан-Висенте, Кускатлан, Сан-Сальвадор и Ла-Либертад. С юга омывается Тихим океаном. Административный центр — город Сакатеколука.
"
Большое Курапово (Московская область) ,"Большое Курапово — деревня в Талдомском районе Московской области России. Входит в состав сельского поселения Квашёнковское. Население — 31[1] чел. (2010).
"
Ткоца ,"Ткоца (груз. ტკოცა) — село в Грузии. Находится в Хашурском муниципалитете края Шида-Картли. Высота над уровнем моря составляет 800 метров. Население - 487 человек (2014)[1].
"
Неретвские пираты ,"Неретвские пираты промышляли разбоем на Неретве в Далмации в Средние века. Впервые появились в регионе, называемом в то время Паганией. Они занимают особое место в фольклоре Хорватии, поскольку сражались c Венецианской и Генуэзской республиками, турками-османами, а также с разбойничьими мусульманскими бандами[1]. Есть мнение, что пиратами их назвали победившие в сражении на мысе Мика венецианцы[2].
"
Fry and the Slurm Factory ,"«Fry and the Slurm Factory» (с англ. — «Фрай и фабрика Слёрма») — 13-й (заключительный) эпизод первого сезона Футурамы. Его североамериканская премьера состоялась 14 ноября 1999 года.
"
НХЛ в сезоне 1997/1998 ,"НХЛ в сезоне 1997—1998 — стал 81-м сезоном Национальной хоккейной лиги. Обладателем Кубка Стэнли стала команда «Детройт Ред Уингз». Сезон стартовал двумя матчами в Токио между «Анахайм Майти Дакс» и «Ванкувер Кэнакс».
"
"Гонсалес, Хорхе ","Хорхе Гонсалес (исп. Jorge González; 31 января 1966 — 22 сентября 2010)[2] — аргентинский баскетболист и рестлер. Известен выступлениями в World Championship Wrestling под именем Эль-Гиганте с 1989 по 1992 год и в World Wrestling Federation под именем Гигант Гонсалес в 1993 году.
"
Цена (станция) ,"Це́на (латыш. Cena) (иногда — Cenas) — железнодорожная станция на территории Озолниекского края на 34 километре линии Рига — Елгава. Большая часть электропоездов маршрута Рига — Елгава останавливаются здесь, однако касса и зал ожидания станции Цена — закрыты и пассажиры должны приобретать билеты у кондукторов в поезде. Стоимость проезда до станции Рига-Пасажиеру составляла на апрель 2009 года 1,15 лата (время в пути, приблизительно 36 мин) и до станции Елгава — 0,50 лата (время в пути, приблизительно 13 мин).
"
Марго на свадьбе ,"«Марго на свадьбе» (англ. Margot at the Wedding) — американская комедийная драма режиссёра Ноя Баумбаха с Николь Кидман и Дженнифер Джейсон Ли в главных ролях. Это вторая картина Баумбаха после фильма «Кальмар и кит», исследующая проблемы взаимоотношений в разлаженных семьях. 
"
Чемпионат Европы по баскетболу среди женщин 2011 ,"Чемпионат Европы по баскетболу среди женщин 2011 — дивизион B — баскетбольное соревнование которое проходило с 1 августа 2010 по 11 июня 2011 года. В турнире участвовало девять команд, разделённых на две группы. Команды в группах играли по круговой системе «каждый с каждым» дома и на выезде. Победитель каждой из групп получил путёвки в дивизион «А», где будет участвовать в отборочном турнире за попадание в финальную часть чемпионата Европы—2013.
"
"Офтедал, Стине Бредал ","Стине Бредал Офтедал (норв. Stine Bredal Oftedal; род. 25 сентября 1991 (1991-09-25), Осло) — норвежская гандболистка, правый полусредний венгерского клуба «Дьёри ЭТО» и сборной Норвегии. Двукратная чемпионка мира (2011 и 2015) и трёхкратная чемпионка Европы (2010, 2014 и 2016).
"
"Бар, Цви ","Цви Бар (ивр. ‏צבי בר‏‎, родился в 1935 году в Кфар Йона) — израильский политик, мэр города Рамат-Ган в 1989-2013 годах.
"
"Власов, Николай Дмитриевич ","Николай Дмитриевич Власов (25 декабря 1923 — 28 августа 1995) — советский солдат, Герой Советского Союза (30 октября 1943 года[1]).
"
Антигон Каристский ,"Антигон Каристский — учёный грамматик, писатель и поэт времен Птолемея II Филадельфа и Птолемея III Эвергета, жил в III век до н. э., автор ряда жизнеописаний философов, в частности о Пирроне.
"
(8367) Бокусуй ,"(8367) Бокусуй (яп. 牧水) — астероид главного пояса, открытый 23 октября 1990 года японским астрономом Цутому Сэки в обсерватории Гейсей. Назван в честь японского танка-поэта Вакаямы Бокусуя[1].
"
Цветы в пыли (фильм) ,"«Цветы в пыли» (англ. Blossoms in the Dust) — американская мелодрама Мервина Лероя 1941 года. Фильм получил Премию «Оскар» за лучшую работу художника-постановщика[3].
"
"Пучков, Владимир Андреевич ","Влади́мир Андре́евич Пучкóв (род. 1 января 1959, Новинка, Волгоградская область, РСФСР, СССР) — российский государственный деятель. 
"
Муниципалитеты Керетаро ,"Штат Мексики Керетаро является одним из 32 субъектов Мексиканских Соединённых штатов. Он разделён на 18 муниципалитетов.
"
Азадеган-лига 2013/2014 ,"Лига Азадеган 2013/14 (перс. Azadegan League 2013/14‎) — 13-й розыгрыш второй по уровню лиги Ирана по футболу в этом формате.
"
Новощербиновское сельское поселение ,"Новощербиновское сельское поселение — муниципальное образование в составе Щербиновского района Краснодарского края России.
"
"Данелюк, Александр Петрович ","Александр Петрович Данелюк (польск. Alexander Danieluk), известен под псевдонимами Эдмунд Стефаньский (польск. Edmund Stefański) и Александр Стефаньский (польск. Alexander Stefański), также Александру Штефански (рум. Alexandru Ştefanski), 1897—1937) — революционер-интернационалист польско-украинского происхождения. Генеральный секретарь Коммунистической партии Румынии (1931—1936), деятель Исполнительного комитета Коммунистического интернационала.
"
Даритай-отчигин ,"Даритай-отчигин (монг. Даридай отчигин) — сын Бартан-баатура и младший брат Есугея-багатура — основателя рода Кият-Борджигин. Его племянником был Чингисхан — основатель и первый хан Монгольской империи.
"
Новокаразириково ,"Новокаразириково (башк. Яңы Ҡарайерек) — деревня в Чекмагушевском районе Башкортостана, относится к Тузлукушевскому сельсовету. 
"
Чемпионат Швейцарии по футболу 2010/2011 ,"Чемпионат Швейцарии по футболу 2010-2011 годов являлся 114-м чемпионатом Швейцарии по футболу. Официальное название AXPO Super League в честь главного спонсора турнира. Чемпионат стартовал 17 июля 2010 года матчами «Грассхопперс» — «Ксамакс» и «Тун» — «Янг Бойз» (оба матча были сыграны со счётом 1:1) и завершился 25 мая 2011 года.
"
Малые Краснова ,"Малые Краснова — деревня в Белозерском районе Вологодской области.
"
Нешкан ,"Нешка́н (чук. Ӈэсӄэн, эским. Насӄаӄ) — национальное чукотское село в Чукотском районе Чукотского автономного округа России. Образует сельское поселение Нешкан.
"
"Коротеев, Виктор Алексеевич ","Виктор Алексеевич Коротеев (род. 25 апреля 1937, Чапаевск, Куйбышевская область) — специалист в области палеовулканологии и металлогении вулканогенных образований, профессор, глава школы палеовулканологии на Урале. Член президиума Уральского отделения РАН, академик РАН (1992).
"
Gone Maggie Gone ,"«Gone Maggie Gone» (рус. Вперёд, Мэгги, вперёд) — тринадцатый эпизод двадцатого сезона Симпсонов. Впервые был показан по телеканалу Fox в Соединённых Штатах 15 марта 2009. Эпизод был написан Билли Кимбэлом и давним сценаристом Симпсонов Ианом Мэкстоун-Грэмом, и поставлен Крисом Клементсом. В «Gone Maggie Gone» Гомер оставляет Мэгги на пороге женского монастыря, но когда она исчезает, Лиза проникает туда под видом монахини, чтобы решить тайну. Тем временем, Гомер пытается держать исчезновение Мэгги в тайне от Мардж, которая ослепла, наблюдая солнечное затмение.
"
"Бутрова, Мария Николаевна ","Мария Николаевна Бутрова (11 марта 1905, Санкт-Петербург — 1989, Санкт-Петербург) — советский художник.
"
Цияб-Ичичали ,"Цияб-Ичичали — село в Хасавюртовском районе Дагестана (Россия).
"
Влияние гамма-лучей на поведение маргариток ,"«Влияние гамма-лучей на поведение маргариток» (англ. The Effect of Gamma Rays on Man-in-the-Moon Marigolds) — американский кинофильм, вышедший на экраны в 1972 году. Он был снят Полом Ньюманом по одноимённой пьесе Пола Зиндела. Главные роли в фильме исполнили Джоан Вудворд, жена  Ньюмана, их общая дочь Нелл Поттс (Ньюман) и Роберта Уоллак, дочь Илая Уоллака.
"
Великий Бор (Гордеевский район) ,"Великий Бор — село в Гордеевском районе Брянской области, в составе Гордеевского сельского поселения. Расположено в 6 км к юго-западу от села Гордеевка, на реке Неженке (бассейн Ипути). Население — 51 человек (2010).
"
Гай Петелий Либон Визол (консул 346 года до н. э.) ,"Гай Пете́лий Либо́н Визо́л (лат. Gaius Poetelius Libo Visolus; умер после 313 года до н. э.) — древнеримский военный и политический деятель из знатного плебейского рода Петелиев, народный трибун в 358 году до н. э. и двукратный консул (в 346 и 326 годах). Будучи вторично облечён консульскими полномочиями, утвердил закон, освобождавший дебиторов от долговой кабалы и запретивший обращать их в рабство.
"
Отчаянные домохозяева ,"«Отчаянные домохозяева» (англ. House Husbands) — австралийский телесериал, премьера которого состоялась 2 сентября 2012 года на канале «Nine Network».[1][2]"
Pichipilus ,"Pichipilus (лат.) — род вымерших сумчатых млекопитающих из семейства Pichipilidae отряда Ценолесты (Paucituberculata)[1], обитавших в Южной Америке.
"
"Степанов, Павел Михайлович ","Павел Михайлович Степанов (1924—2000) — советский и российский учёный в области гидрологии, профессор.  Заслуженный мелиоратор РСФСР (1975). Ректор НИМИ (1967—1984).
"
Балтийская лига (футбол) ,"Балти́йская ли́га — футбольный турнир с участием пяти лучших команд из Латвии, Литвы, Эстонии и лучшей шестой команды от страны предыдущего победителя, первый розыгрыш которого прошёл в 2007 году. Последним обладателем трофея на данный момент является «Сконто».
"
"Кёбаси (станция, Токио) ","Станция Кёбаси (яп. 京橋駅 кё:баси эки) — железнодорожная станция на линии Гиндза расположенная в специальном районе Тюо,Токио. Станция обозначена номером G-10.
"
Американская академия искусств и литературы ,"Американская академия искусств и литературы (англ. American Academy of Arts and Letters) — организация США с 250-ю членами, целью которой является помощь, поддержка и продвижение американского искусства, музыки и литературы. 
"
Ешилькёй ,"Ешилькёй (тур. Yeşilköy; до 1926 года известен как Айос-Стефанос греч. Άγιος Στέφανος или Сан-Стефано) — район Стамбула, административно относится к Бакыркёй. До 1907 года портовое местечко[1], западный пригород Константинополя, прославившееся подписанием 19 февраля (3 марта) 1878 года Сан-Стефанского мирного договора между Российской и Османской империями, завершившего Русско-турецкую войну 1877—1878 годов.
"
"Плессен, Карл Адольф фон ","Карл Адольф фон Плессен (дат. Carl Adolph von Plessen; 18 марта 1678 (1678-03-18), Шверин — 30 января 1758, Копенгаген) — датский государственный и политический деятель.
"
Мужская сборная Финляндии по хоккею на траве ,"Мужская сборная Финляндии по хоккею на траве — мужская сборная по хоккею на траве, представляющая Финляндию на международной арене. Управляющим органом сборной выступает Ассоциация хоккея на траве Финляндии (швед. Finlands herrlandslag i landhockey, англ. Finnish Field Hockey Association).
"
Wonderland ,"Wonderland — дебютный альбом дуэта Erasure, вышел в июне 1986 года. В Европе его выпустил лейбл Mute, а в США — Sire Records.
"
NGC 1325 ,"NGC 1325 (другие обозначения — ESO 548-7, MCG -4-9-4, UGCA 70, IRAS03221-2143, PGC 12737) — галактика в созвездии Эридан.
"
Некрасово (Свердловская область) ,"Некрасово — село в Белоярском городском округе Свердловской области. Управляется Некрасовским сельским советом.
"
Гайна (племя) ,"Гайна́ (башк. Ғәйнә) — клан  в составе северных башкир. Второе название гайнинских башкир — Тархан (башк. тархан).
"
Вюстит ,"Вюсти́т (англ. wüstite) — минерал, монооксид железа, характеризуемый небольшой дефектностью ГЦК решётки, которая описывается формулой Fe1−xO. Представляет собой нестехиометрическое соединение с недостатком атомов железа. Назван в честь немецкого минералога, профессора Ф. Вюста, исследовавшего состав и свойства этой фазы. Магниевый вюстит является вторым по распространённости глубинным минералом. Из-за неустойчивости в поверхностных земных условиях стехиометрический вюстит крайне редок.
"
